location_id,location_name,location_type,location_place,quest_id
55,Вилла Ведетте,Заброшенная усадьба,Долина Ведетте к востоку от дворца Галлион,55
56,Вилла Ла Валеттов,Вилла,Золотой город,601
57,Вилла Орианы,Поместье,Боклер,146
58,Винный рынок,Рынок,Сан-Себастьян Боклер,
59,Виноградник Ортенз,Винодельня,К югу от Боклера,
60,Винокурня,Пещера,Градова гора,636
61,Водный мир,Хитроумная конструкция,Другой мир,582
62,Военная академия им. Маркуса Брайбанта,Учебное заведение,Нильфгаард,
63,Волчье урочище,Святилище,К северу от Врониц,149
64,Вороний Яр,Каменоломня,Неизвестно,
65,Ворота в Купеческий квартал,Ворота,Храмовый квартал,
66,Ворота в Старую Вызиму,Ворота,Дамба Вызимы,
67,Ворота иерархов,Ворота,Юг Новиграда,
68,Ворота мельника,Ворота,Неизвестно,427
69,Ворота славы,Ворота,Юг Новиграда,
70,Врата Восходящего Солнца,Ворота,Верхний город Боклер,
71,Врата Махакама,Врата,Верген,439
72,Врата Металлургов,Ворота,Верген,
73,Временная кузница,Кузница,Неизвестно,166
74,Вроницы (регион),Область,Северо-запад Велена,
75,Вызима,Столица,Озеро Вызима,
76,Вызима (озеро),Озеро,Вокруг города,
77,Вызимское кладбище,Кладбище,Неизвестно,
78,Высокий мост,Город,К юго-востоку от Грани Бороса,
79,Гавань,Хитроумная конструкция,Неизвестно,
80,Гиндар,Роща,Хиндарсфьялл,20
81,Главная деревня,Деревня,Неизвестно,427
82,Главный рынок Боклера,Площадь,Верхний город Боклер,
83,Глиняные ямы (локация),Глиняный карьер,Южнее деревни кирпичников,129
84,Глубины Давора,Карьер,Северо-восточнее Золотого стока,
85,Гнездо чудовища,Хитроумная конструкция,Неизвестно,
86,Гнилая Роща,Район города,Квартал красных фонарей Новиград,330
87,Категория:Города из игр,Хитроумная конструкция,Неизвестно,
88,Городское кладбище,Кладбище,Сиротки Боклер,87
89,Горький сад,Опустевшее селение,К юго-западу от Луковца,
90,Госпиталь Вильмериуса,Госпиталь,Обрезки Новиград,586
91,Гостиный дом,Офицерский клуб,Рядом с лагерем Группы армий Центр,
92,Градобор,Город,К западу от Ривии,98
93,Градова гора,Гора,Ард Скеллиг,636
94,Грань Бороса,Город руины,Запад Махакамского перевала,
95,Гробница Ворона,Гробница,Неизвестно,166
96,Гробница Святого Григория,Хитроумная конструкция,Неизвестно,
97,Гробница семьи Броссардов,Кладбище,Неизвестно,
98,Грот (Ард Скеллиг),Пещера,Ард Скеллиг,138
99,Грот (Велен),Пещера,Восток Велена,63
100,Грот Альбертуса,Пещера,Склоны Горгоны,38
101,Грот драконобойца,Пещера,К северо-западу от Кривоуховых топей,59
102,Грядки с травой в лесу,ЛесОпустевшее селение,Долина Сансретура к юго-востоку от Коронаты,91
103,Грязищи,Область,Север Велена,
104,Дамба Вызимы,Дамба,Вызима,19
105,Двор празднолюбцев,Разрушенная усадьба,К югу от Врониц,438
106,Дворец выборщиков,Площадь,Храмовый остров,
107,Дворец Пробуждения,Дворец,Тир на Лиа,582
108,Дворцовые сады,Сады,Западный берег Сид Ллигад,26
109,Ддиддвет,Другой мир,Неизвестно,582
110,Деревня Альнесс,Деревня,Золотые поля,151
111,Деревня Аретт,Деревня,Застенье,545
112,Деревня Аринбьорн,Деревня,Ард Скеллиг,211
113,Деревня Бландаре,Деревня,Ард Скеллиг,213
114,Деревня Боксхольм,Деревня,Ард Скеллиг,217
115,Деревня Большие Сучья,Деревня,К западу от Врониц,153
116,Деревня Броновицы,Деревня,К северо-востоку от имения фон Эвереков,242
117,Деревня Вересковка,Деревня,Северо-запад Велена,422
118,Деревня Глинник,Деревня,К югу от Врониц,
119,Деревня Гольмштейн,Деревня,Ард Скеллиг,446
120,Деревня Дички,Деревня,К югу от храма Мелитэле,135
121,Деревня Доброво,Деревня,К югу от Врониц,248
122,Деревня Залипье,Деревня,К востоку от Врониц,116
123,Деревня Карстен,Деревня,Неизвестно,414
124,Деревня Квальхейм,ДеревняЛагерь бандитов,Ард Скеллиг,
125,Деревня кирпичников,Хитроумная конструкция,Неизвестно,
126,Деревня Клыки,Разрушенная деревня,Запад Велена,
127,Деревня Ларвик,Деревня,Хиндарсфьялл,20
128,Деревня Лофотен,Деревня,Хиндарсфьялл,20
129,Деревня Лурхен,ДеревняОпустевшее селение,Хиндарсфьялл,
130,Деревня Лямки,Деревня,Юго-восточнее деревни Рудник,589
131,Деревня Мышинец,Деревня,Восточнее деревни Сворки,251
132,Деревня Подлесье,Деревня,К юго-западу от Врониц,201
133,Деревня Раннвейг,Деревня,Ард Скеллиг,217
134,Деревня Рогни,Деревня,Ард Скеллиг,514
135,Деревня Рудник,Деревня,Северный берег Моречка,120
136,Деревня Сворки,Деревня,К востоку от Залипья,237
137,Деревня Сворлаг,Деревня,Спикероог,252
138,Деревня Стёжки,Деревня,К западу от Коломницы,220
139,Деревня Стахировка,ДеревняОпустевшее селение,Драконья долина,408
140,Деревня Сунд,Деревня,Ард Скеллиг,
141,Деревня Тодерас,Деревня,Восток Велена,
142,Деревня Троттхейм,Деревня,Фареры,
143,Деревня Урскар,Разрушенная деревня,Ундвик,94
144,Деревня Урстен,Деревня,Неизвестно,178
145,Деревня Ферлунд,Деревня,Ард Скеллиг,566
146,Деревня Фирсдаль,Деревня,Ард Скеллиг,196
147,Деревня Фловив,Деревня,Пойма Сансретура к востоку от Боклера,
148,Деревня Форнхала,Заброшенная деревня,Рука Снежного Великана,
149,Деревня Франколар,Деревня,Леса Кароберты к юго-востоку от Боклера,539
150,Деревня Харвикен,Деревня,Фаро,174
151,Деревня Хеддель,ДеревняОпустевшее селение,К юго-востоку от имения фон Эвереков,
152,Деревня Хов,Деревня,Спикероог,368
153,Деревня Черминь,ДеревняОпустевшее селение,К югу от деревни Стёжки,
154,Деревня Штейгеры,Деревня,Севернее Кривоуховых топей,665
155,Деревня Эрде,Деревня,Драконья долина Редания,18
156,Деревня Яворник,Деревня,К югу от Дерева висельников,435
157,Деревня Янтра,Деревня,К северо-востоку от Новиграда,333
158,Дерево висельников,Дерево,К северу от Яворника,435
159,Дерево странников,Дерево,Юг Аэдирна,
160,Дикий берег,Побережье,Ард Скеллиг,
161,Длинный мост,Мост,Карбон,
162,Доки в Новиграде,Порт,Юго-запад Новиграда,376
163,Дол Ду Локке,Долина,Неизвестно,
164,Долина Ведетте,Долина,Север Туссента,553
165,Долина Девяти,Долина,Пойма Сансретура,458
166,Долина Каэр Морхен,Долина,Каэдвен,
167,Долина Понтара,Долина,Между реками Понтар и Дыфня,
168,Долина Сансретура,Долина,К северу от Боклера,92
169,Долина Черного Потока,Долина,К северу от Глубин Давора,
170,Дом Абигайл,Хитроумная конструкция,Неизвестно,
171,Дом Адама,Дом,Темноводье,
172,Дом ведьмака,Дом,Неизвестно,
173,Дом Вепря,Святилище,Велен,237
174,Дом Голана Вивальди,Хитроумная конструкция,Неизвестно,
175,Дом детектива,Дом,Храмовый квартал,8
176,Дом Калькштейна,Хитроумная конструкция,Неизвестно,
177,Дом Королевы Ночи,Бордель,Купеческий квартал,572
178,Дом Косаря,Дом,Храмовый квартал,283
179,Дом кузнеца,Дом,Темноводье,166
180,Дом Маркграфа Хенкеля,Дом,Новиград,592
181,Дом Могилы,Дом,Храмовый квартал,489
182,Дом Одо,Хитроумная конструкция,Неизвестно,
183,Дом Преподобного,Дом,Неизвестно,310
184,Дом Сальмы,Дом,Квартал красных фонарей,210
185,Дом Сары,Дом,К югу от Площади Иерарха,599
186,Дом Селины,Дом,Темноводье,394
187,Дом Сесиля Бурдона,Дом,Верген,331
188,Дом Талера,Дом,Храмовый квартал,28
189,Дом Таулера,Дом,Золотой город,545
190,Дом Трисс,Дом,Площадь Иерарха,330
191,Дом Трисс в Обрезках,Дом,Обрезки,104
192,Дом Трисс Меригольд,Дом,Купеческий квартал,256
193,Дом Ублюдка Младшего,Дом,Храмовый остров,443
194,Дом Цезаря Бильзена,Дом,Площадь Иерарха,436
195,Дом Шани,Дом,Храмовый квартал,380
196,Дорога на Клык Ингвара,Горная дорога,Ан Скеллиг,
197,Дорога на Лысую гору,ДорогаПристань,Юго-восток Велена,359
198,Дорога сладостей,Дорога,Кривоуховы топи,648
199,Дравоград,Город,К северо-западу от Лирии,135
200,Драконья долина,Долина,К северо-востоку от Оксенфурта,
201,Древняя гробница (Ведьмак 3),Пещера,Ард Скеллиг,597
202,Дуб Гединейт,Священное дерево,Северо-восток Ард Скеллига,667
203,Душные Ямы,Пещера,Долина Ведетте к юго-востоку от руин дворца Галлион,55
204,Дуэн Хен,Святилище,Юго-восток Велена,234
205,Дьяволова яма,Лагерь бандитов,Близ Дерева висельников,
206,Железный рудник,Шахта,Долина Каэр Морхен,80
207,Жилище Ольшана,Дом,Неизвестно,
208,Жилище Филиппы Эйльхарт,Жилище чародейки,Верген,
209,Журавлиный мыс,Жилище чародейки,Лок Муинне,457
210,Журавлиный остров,Мыс,К северу от Новиграда,521
211,Заброшенная бочарня,Остров,Пойма Сансретура,85
212,Заброшенная винокурня,Бочарня,Леса Кароберты,184
213,Заброшенные хижины (Предместья),Винокурня,Пустоши,
214,Заброшенный склад,Дома,Неизвестно,90
215,Заброшенный храм пророка Лебеды,Склад,Леса Кароберты к востоку от Тесхам Мутна,56
216,Загадочный мир,Святилище,Долина Сансретура,
217,Задар,Хитроумная конструкция,Другой мир,135
218,Залив ветров,Город,К западу от Лирии к югу от Орлиного Ручья,
219,Залив Сирени,Залив,Ан Скеллиг,
220,Замок Арнскрон,Залив,Великое море,617
221,Замок Вроницы,Руины,Трупная чаща,
222,Замок Драхим,Замок,Темерский берег Понтара,191
223,Замок Зютцер,Разрушенный замок,К югу от Новиграда,550
224,Замок Ла Валетт,Руины,К востоку от имения фон Эвереков,
225,Замок Монкран,Замок,Неизвестно,553
226,Замок Ривия,Руины замка,К северо-востоку от каменоломни Ардаизо,
227,Замок Трех Отцов,Замок,Ривия Лирия и Ривия,
228,Замок Тузлы,Замковый комплекс,Южная часть Вергена,50
229,Западные ворота,Замок,Юго-восток Ангрена на границе с Ийсгитом,
230,Застенное кладбище,Ворота,Оксенфурт,458
231,Застенье,Кладбище,Сиротки у южных стен Боклера,601
232,Золотой город,Район города,Юг Новиграда,601
233,Золотой сток,Район города,Северо-восток Новиграда,
234,Золотые поля,Город,Неизвестно,
235,Ивица,Регион,К востоку от Новиграда,
236,Игла Улулы,Деревня,Неизвестно,
237,Игорный притон,Остров,Близ южного берега Спикероога,
238,Изысканный салон,Таверна,Купеческий квартал,381
239,Ийсгит,Цирюльня,Сиротки Боклер,
240,Имение Мартина Листа,Область,Ангрен Яруга,
241,Имение Ронневиль,Усадьба,Золотые поля,
242,Ингдален,УсадьбаОпустевшее селение,Виноградник Ортенз,501
243,Категория:Иные миры,Остров,К северу от Хиндарсфьялла,
244,Казино Ублюдка Младшего,Хитроумная конструкция,Неизвестно,443
245,Каменный круг,Игорный притон,Обрезки,
246,Каменоломня Ардаизо,Круг,Ард Скеллиг,184
247,Каменоломня Старые Хрычи,Каменоломня,Пустоши к юго-западу от Монкрана,
248,Канализация Вызимы,Каменоломня,Велен,
249,Канализация Новиграда,Канализация,Неизвестно,49
250,Каналы Оксенфурта,Канализация,Под улицами города,443
251,Каналы под Лок Муинне,Канализация,Оксенфурт,
252,Канатчиковые ворота,Канализация,Лок Муинне,
253,Караулка,Хитроумная конструкция,Неизвестно,
254,Карбон,Казарма,Купеческий квартал,
255,Кастель Ровелло,Гора и город,Восток Махакама,
256,Кастельдаччия,Усадьба,Долина Сансретура к западу от Верментино,
257,Катакомбы Старой Усадьбы,Усадьба,Пустоши к востоку от Фловива,
258,Каштановый берег,Хитроумная конструкция,Неизвестно,
259,Каэдвенский лагерь,Пристань,Долина Сансретура,
260,Каэр Альмхульд,Лагерь,Окрестности Вергена,77
261,Каэр Гелен,Остров-крепостьТюрьма (ранее),К западу от Эльдберга,75
262,Каэр Ду,Руины крепости,К востоку от Лагеря горняков,71
263,Каэр Морхен,Руины крепости,Долина под Форнхалой,
264,Каэр Мюр,Крепость,Долина Каэр Морхен,664
265,Каэр Ниссен,Крепость,Север Синих Гор,217
266,Каэр Трольде,Крепость,Ард Скеллиг,
267,Квартал красных фонарей,Руины,Ард Скеллиг,330
268,Квартал Нелюдей,Крепость,Скеллиге Ард Скеллиг,
269,Квартал нелюдей (Флотзам),Улица,Путь Славы,246
270,Килкеринн,Район,Храмовый квартал,250
271,Кладбище Белого Сада,Жилой квартал,Флотзам,60
272,Кладбище големов,Руины,К северу от Трупной чащи,
273,Кладбище китов,Кладбище,К северу от деревни,549
274,Кладбище на болотах,Хитроумная конструкция,Неизвестно,
275,Кладбище у Лофотена,Побережье,Ард Скеллиг,
276,Кладбище у Монкрана,Хитроумная конструкция,Неизвестно,
277,Клык Ингвара,Кладбище,Хиндарсфьялл к югу от Лофотена,
278,Кобылий островок,Кладбище,Пустоши к западу от Монкрана,
279,Коломница,Вершина,Гора Ардварк,382
280,Корво Бьянко,Поселение,К востоку от Грани Бороса,
281,Королевский замок в Вызиме,Остров,Озеро Моречко,173
282,Королевский квартал,Усадьба,Долина Сансретура Туссент,9
283,Короната,Замок,Королевский квартал Вызима,
284,Корчма «Алхимия»,Замок,Королевский квартал,
285,Корчма «Алый кардинал»,Замок,Темерия,
286,Корчма «Гусиная гузка»,Район города,Север Вызимы,
287,Корчма «Зимородок»,Усадьба,Долина Сансретура Туссент,202
288,Корчма «Куролиск»,Корчма,Оксенфурт,
289,Корчма «На распутье»,Корчма,Деревня Франколар,26
290,Корчма «Нигде»,Таверна,К югу от Новиграда,
291,Корчма «Новый порт»,Корчма,Новиград Площадь Иерарха,545
292,Корчма «Под бочкой и шпунтом»,Корчма,Пойма Сансретура к юго-западу от Дун Тынне,324
293,Корчма «Под Серебряной Саламандрой»,Корчма,К северу от Врониц,
294,Корчма «Семь котов»,Корчма,Обрезки,553
295,Корчма «Старый порт»,Таверна,Порт у Каэр Трольде,639
296,Котий хребет,Корчма,Деревня Фловив,
297,Кралобаг,Корчма,Долина Ведетте на берегу Сансретура,499
298,Краснолюдские катакомбы,Таверна,Предместья Новиграда,
299,Крематорий,Таверна,Ундвик,571
300,Крепость Гервина,Холм,Склоны Горгоны,
301,Крепость Торгейра Красного,Город,Неизвестно,
302,Кривой Рог,Захоронение,Окрестности Вергена,62
303,Кривоуховы топи,Крематорий,К востоку от Оксенфуртских ворот,456
304,Кривоуховы холмы,Крепость,Неизвестно,648
305,Кридам,Руины,Гора Ардварк,59
306,Круг Стихий,Деревня,Юго-запад Синявой Пущи,
307,Кузница Трентина,Болотистая местность,Юго-восток Велена,
308,Кузня клана Тордаррох,Холмы,К северу от Кривоуховых топей,87
309,Купеческая фактория,Поселение,К западу от Лирии,369
310,Купеческие ворота,Хитроумная конструкция,Неизвестно,539
311,Купеческий квартал,Лавка,Боклер,427
312,Кьераг,Кузница,Ундвик,
313,Кэдва Гэнвид,Лагерь,Долина Сансретура на границе с Долиной Ведетте,206
314,Лаборатория ведьмаков,Ворота,Неизвестно,
315,Лаборатория Венцеля Пагга,Хитроумная конструкция,Неизвестно,
316,Лаборатория Даэрхенны,Скалы,Ард Скеллиг,227
317,Лаборатория Калькштейна,Кладбище,Северо-запад Синявой Пущи,620
318,Лаборатория Ордена,Хитроумная конструкция,Неизвестно,362
319,Лавка купца (Золотой город),Пещера,Окрестности Флотзама,550
320,Лавка Эйвара Хаттори,КатакомбыЛаборатория,Каналы под Лок Муинне,612
321,Лагерь армии Фольтеста,Лаборатория,Старая Вызима,376
322,Лагерь бандитов,Пещера,Драконья долина,
323,Лагерь беженцев,Лавка,Новиград,
324,Лагерь горняков,Дом-мастерская,Путь Славы,
325,Лагерь группы армий "Восток",Армейский лагерь,Неизвестно,213
326,Лагерь Гудмунда,Лагерь,К юго-востоку от Врониц,
327,Лагерь друидов,Опустевшее селениеЛагерь,К западу от Подлесья,
328,Лагерь каннибалов,Лагерь,Ард Скеллиг,
329,Лагерь наемников,Лагерь,Неизвестно,
330,Лагерь нелюдей,Лагерь,Неизвестно,193
331,Лагерь Нильфгаарда,Лагерь,Ард Скеллиг,
332,Лагерь нильфгаардской армии "Центр",Лагерь,Ничейная земля,127
333,Лагерь Ордена Пылающей Розы,Лагерь,К востоку от Оксенфурта,635
334,Лагерь Роше,Хитроумная конструкция,Неизвестно,
335,Лагерь Сабрины,Лагерь,Неизвестно,
336,Ледяная Пустошь,Лагерь армии,Юг Велена,
337,Лес Блессюр,Лагерь,Неизвестно,
338,Лес Лок Муинне,Лагерь,Под стенами Каэдвенского лагеря,
339,Лес Марцесент,Лагерь,Неизвестно,354
340,Лес на болотах,Хитроумная конструкция,Неизвестно,205
341,Леса Кароберты,Лес,Пустоши у южного берега Блессюры,
342,Леса Флотзама,Лес,Окрестности Лок Муинне,442
343,Лесная Воля,Лес,Пойма Сансретура,
344,Лесопилка (Ард Скеллиг),Болота,Западный берег озера,
345,Лесопилка (Белый Сад),Лес,Юг Туссента,
346,Лесопилка Риу-Канн,Лес,Неизвестно,
347,Лечебница Св. Лебеды,Деревня,Северо-восток Синявой Пущи,
348,Липовое поле,ЛесопилкаОпустевшее селение,Ард Скеллиг,
349,Лирийские Равнины,ЛесопилкаОпустевшее селение,К западу от деревни,88
350,Логово гарпий,Лесопилка,Склоны Горгоны,135
351,Логово Кейрана,Хитроумная конструкция,Неизвестно,
352,Логово оборотня,ПолеОпустевшее селение,Леса Кароберты,277
353,Логово риггера,Местность,Лирия,
354,Логово троллихи,Хитроумная конструкция,Окрестности Вергена,
355,Логово тролля,Логово монстра,Леса Флотзама,127
356,Лок Муинне,Хитроумная конструкция,Неизвестно,127
357,Лок Феаинн,Хитроумная конструкция,Вызима Канализация Вызимы,
358,Категория:Локации (Ведьмак 2),Хитроумная конструкция,Окрестности Вергена,
359,Категория:Локации (Ведьмак 3),Хитроумная конструкция,Окрестности Вергена,
360,Категория:Локации (Ведьмак),Город,Синие Горы,
361,Категория:Локации (Гвинт),Озеро,Неизвестно,
362,Категория:Локации (Кровная вражда),Хитроумная конструкция,Неизвестно,
363,Луковец,Хитроумная конструкция,Неизвестно,
364,Лысая гора,Хитроумная конструкция,Неизвестно,550
365,Лысая гора (регион),Хитроумная конструкция,Неизвестно,359
366,Магазин игрушек «Конь-огонь»,Хитроумная конструкция,Неизвестно,
367,Малёбон,Заброшенная деревня,К северо-западу от Усадьбы Гарин,356
368,Малинник,Гора,Юг Велена,98
369,Мануфактура,Область,Юго-восток Велена,394
370,Мариборские ворота,Здание,Порт Боклера,
371,Мастерская Балтимора,Крепость,К юго-востоку от Ивицы,
372,Мастерская Лазаря Лафарга,Область,Поля,331
373,Маяк (Новиград),Хитроумная конструкция,Неизвестно,
374,Маяк Элверум,Хитроумная конструкция,Неизвестно,562
375,Маяк Эльдберг,Заброшенная мастерская,Верген,
376,Медицинская практика Шани,Оружейная мастерская,Верхний город Боклер,211
377,Мельница (Белый Сад),Хитроумная конструкция,За стенами Новиграда,242
378,Мельница графа де ла Круа,Маяк,Ард Скеллиг,25
379,Мельница Люсьена,Маяк,Остров Игольный к северу от деревни Аринбьорн,
380,Мельничная Излучина,Лечебница,Оксенфурт,
381,Мельничное озеро,Мельница,К югу от кладбища,135
382,Мер-Лашез,Мельница,Пойма Сансретура к северо-востоку от Боклера,
383,Место казни Сабрины,Мельница,Южнее Застенья,442
384,Место Силы,Деревня,К западу от Орлиного Ручья,526
385,Метиннские ворота,Озеро,К северо-востоку от имения фон Эвереков,
386,Мир Гюнтера о'Дима,Кладбище,Север Сумрачного бора к востоку от Боклера,
387,Монкран,Место казни,Неизвестно,
388,Моречко,Хитроумная конструкция,Неизвестно,
389,Морскоген,Ворота,Верхний город Боклер,382
390,Мост в Каэр Трольде,Неизвестно,Другой мир,636
391,Мост мародёров,Нагорье,Пустоши,324
392,Мост плакальщицы,Озеро,Южная часть Велена,
393,Мост Плегмунда,Лес,Ард Скеллиг,84
394,Мост св. Григора,Мост,Ард Скеллиг,
395,Мост Смешки,Мост,Севернее деревни Сворки,544
396,Мрозы,Мост,К западу от деревни,
397,Набережная марлинов,Мост,К северо-востоку от Боклера,
398,Нава,Мост,Север Новиграда,94
399,Нарисованный мир,Мост,К востоку от деревни,
400,Небольшая ферма,Деревня,Неизвестно,239
401,Незаметная поляна,Побережье,Ундвик,394
402,Нива,Остров,К югу от Ундвика,459
403,Нижняя мельница,Хитроумная конструкция,Другой мир,
404,Нильфгаардский гарнизон (Белый Сад),Ферма,Поля,242
405,Нильфгаардский квартал,Поляна,Склоны Горгоны Холмы рододендронов,573
406,Новиград,Регион/Остров,Остров к югу от Новиграда,127
407,Новиградская пуща,Мельница,К югу от Броновиц,
408,Новиградские бани,Лагерь,К северо-западу от деревни,202
409,Новиградские ворота,Квартал,Лок Муинне,443
410,Новиградский морг,Вольный город,Неизвестно,
411,Новый Могильник,Лес,К югу от Новиграда,586
412,Ночлежка,Бани,Неизвестно,69
413,Обитель Ордена Пылающей Розы,Ворота,Оксенфурт,653
414,Обманки (деревня),Морг,Золотой город,79
415,Обоз,Мертвая деревня,Юг Велена,
416,Обрезки,Ночлежка,Сан-Себастьян Боклер,
417,Овечий пруд,Обитель,Храмовый квартал,601
418,Овраг Гнуса,Хитроумная конструкция,Неизвестно,
419,Одинокая башня,Небольшой лагерь,Неизвестно,
420,Одинокая скала,Район города,Восток Новиграда,
421,Одинокая скала (Кровная вражда),Пруд,Пустоши,59
422,Одинокая хата,Овраг,Неизвестно,
423,Одинокая хижина,Хитроумная конструкция,Неизвестно,
424,Окрестности старой усадьбы,Остров/крепость,К северу от Охотничьих земель гарпий,
425,Оксенфурт,Хитроумная конструкция,Неизвестно,79
426,Оксенфуртская Академия,ДомОпустевшее селение,Хиндарсфьялл,
427,Оксенфуртские ворота,Хитроумная конструкция,Неизвестно,342
428,Оксенфуртский морг,Местность,Неизвестно,
429,Оксенфуртский порт,Город,К юго-востоку от Новиграда,209
430,Оливковая площадь,Университет,Оксенфурт,640
431,Оливковая роща,Ворота,Восток Новиграда,396
432,Орлиный Ручей,Морг,Оксенфурт,
433,Оружейная Ордена,Порт,Оксенфурт,
434,Особняк Ублюдка Младшего,Площадь,Верхний город Боклер,657
435,Остов «Летучего оленя»,Роща,Дун Тынне к северо-востоку от замка,443
436,Остров виверны,Деревня,К западу от Храма Мелитэле,61
437,Остров Туманов,Оружейная,Храмовый квартал,
438,Отмель,Особняк,Оксенфурт,441
439,Оток,Разбившийся корабль,Неизвестно,
440,Офис княжеского камерленьо,Остров,Северо-восточнее башни мага,
441,Охотничий домик Трастамары,Остров,Великое море,553
442,Охотничьи земли гарпий,Хитроумная конструкция,Неизвестно,442
443,Павлиний Склон,Деревня,Неизвестно,
444,Палец Хеймдалля,Учреждение,Площадь Спящих Рыцарей Боклер,
445,Палисад,Имение,Леса Кароберты к северо-востоку от Тесхам Мутна,178
446,Паромная станция,Скалистая местность,К северу от Покинутой башни,228
447,Пасека Майерсдорфов,Холм,Склоны Горгоны,
448,Пассифлора,Остров,К востоку от Редгилля,204
449,Патрикова Поляна,Частокол,Ард Скеллиг,
450,Пепелище (Велен),Гавань,К юго-востоку от поселения каменщиков,428
451,Передвижной цирк,Пасека,В востоку от Новиграда,199
452,Переправа Питтапатте,Бордель,Новиград Золотой город,150
453,Переправа через реку,Лагерь,Долина Сансретура,152
454,Переулок Рыцарей Наживы,Развалины,Восточнее Врониц,573
455,Петра Зилле,Цирк,Золотые поля к северу от Карстена,146
456,Пещера (Лес на болотах),Переправа,Долина Сансретура к северу от Дун Тынне,378
457,Пещера (Новиград),Переправа,К востоку от деревни,
458,Пещера беженцев,Переулок,Верхний город Боклер,74
459,Пещера Гротника,Корабль,Логово Кейрана,140
460,Пещера друидов,Хитроумная конструкция,Неизвестно,197
461,Пещера Лебеды,Пещера,К востоку от Новиграда,
462,Пещера Мелюзины,Пещера,Неизвестно,56
463,Пещера первых испытаний,Пещера,Склоны Горгоны Павлиний Склон,215
464,Пещера под стенами,Хитроумная конструкция,Неизвестно,66
465,Пещера под Храмовым островом,Пещера,Леса Кароберты,
466,Пещера Снов,Пещера,Спикероог,61
467,Пещера Шепота,Пещера,К северу от Бастиона,460
468,Пещера Юстианны,Хитроумная конструкция,Неизвестно,30
469,Пещеры Рокестанг,Эльфийские руины,Храмовый остров,
470,Площадь Генрика III Толстого,Пещера,Ард Скеллиг,553
471,Площадь Лебеды,Пещера,Склоны Горгоны к югу от Кастель Ровелло,349
472,Площадь Рундурина,Эльфийские руины,Ард Скеллиг,381
473,Площадь Спящих Рыцарей,Пещера,Склоны Горгоны,
474,Площадь Эпоны,Площадь,Верхний город Боклер,
